62.925,3.798,0
63.049,3.796,0.0002
61.56,3.798,0.0004
62.305,3.796,0.0006
62.677,3.796,0.0008
63.049,3.8,0.001
61.436,3.794,0.0012
60.691,3.8,0.0014
61.188,3.798,0.0016
61.436,3.796,0.0018
61.188,3.8,0.002
61.808,3.796,0.0022
62.057,3.798,0.0024
61.684,3.796,0.0026
60.195,3.796,0.0028
62.057,3.798,0.003
61.436,3.798,0.0032
60.94,3.796,0.0034
60.94,3.798,0.0036
61.188,3.796,0.0038
60.94,3.798,0.004
60.691,3.796,0.0042
61.312,3.794,0.0044
61.188,3.798,0.0046
60.691,3.796,0.0048
61.932,3.796,0.005
62.925,3.796,0.0052
61.932,3.8,0.0054
63.918,3.796,0.0056
62.553,3.798,0.0058
63.049,3.798,0.006
63.422,3.798,0.0062
62.429,3.798,0.0064
63.422,3.792,0.0066
62.429,3.796,0.0068
61.188,3.8,0.007
60.94,3.796,0.0072
61.56,3.8,0.0074
59.947,3.796,0.0076
62.305,3.798,0.0078
61.064,3.798,0.008
60.567,3.796,0.0082
61.064,3.8,0.0084
60.94,3.798,0.0086
61.188,3.796,0.0088
60.94,3.8,0.009
60.815,3.798,0.0092
61.064,3.798,0.0094
62.429,3.798,0.0096
63.546,3.798,0.0098
61.684,3.798,0.01
60.691,3.794,0.0102
62.925,3.798,0.0104
61.808,3.8,0.0106
61.808,3.796,0.0108
62.801,3.802,0.011
63.67,3.796,0.0112
63.174,3.798,0.0114
60.94,3.796,0.0116
63.546,3.796,0.0118
62.801,3.798,0.012
62.801,3.8,0.0122
62.925,3.796,0.0124
63.049,3.798,0.0126
61.188,3.796,0.0128
60.567,3.798,0.013
61.56,3.798,0.0132
61.312,3.796,0.0134
61.188,3.798,0.0136
61.188,3.796,0.0138
61.188,3.798,0.014
60.815,3.798,0.0142
60.691,3.794,0.0144
61.436,3.8,0.0146
60.691,3.798,0.0148
61.808,3.796,0.015
61.188,3.8,0.0152
60.567,3.796,0.0154
61.188,3.8,0.0156
60.691,3.796,0.0158
61.56,3.798,0.016
61.436,3.798,0.0162
61.064,3.794,0.0164
62.925,3.798,0.0166
63.174,3.798,0.0168
61.932,3.794,0.017
62.677,3.8,0.0172
62.677,3.796,0.0174
64.042,3.796,0.0176
61.932,3.798,0.0178
62.429,3.796,0.018
62.677,3.798,0.0182
63.546,3.796,0.0184
60.94,3.796,0.0186
61.188,3.798,0.0188
60.94,3.794,0.019
61.932,3.8,0.0192
60.815,3.798,0.0194
60.815,3.796,0.0196
61.188,3.8,0.0198
60.567,3.796,0.02
62.181,3.8,0.0202
61.312,3.798,0.0204
61.932,3.8,0.0206
61.064,3.794,0.0208
